order_item_id,order_id,product,category,quantity,unit_price,line_total
1,500001,Blueberry Muffin,Bakery,1,3.67,3.67
2,500001,Turkey Sandwich,Food,1,8.27,8.27
3,500001,Espresso,Beverage,1,2.91,2.91
4,500001,Latte,Beverage,1,4.48,4.48
5,500002,Avocado Toast,Food,1,7.43,7.43
6,500002,Espresso,Beverage,1,2.99,2.99
7,500003,Latte,Beverage,2,4.39,8.78
8,500004,Cold Brew,Beverage,1,4.66,4.66
9,500005,Espresso,Beverage,1,3.0,3.0
10,500005,Granola Bar,Snack,1,2.69,2.69
11,500006,Cold Brew,Beverage,1,4.62,4.62
12,500007,Avocado Toast,Food,2,7.37,14.74
13,500008,Cold Brew,Beverage,1,4.65,4.65
14,500008,Espresso,Beverage,1,2.97,2.97
15,500008,Bagel with Cream Cheese,Bakery,1,3.91,3.91
16,500009,Cappuccino,Beverage,1,4.21,4.21
17,500010,Iced Tea,Beverage,1,3.46,3.46
18,500010,Bagel with Cream Cheese,Bakery,1,3.98,3.98
19,500010,Turkey Sandwich,Food,1,8.36,8.36
20,500010,Cappuccino,Beverage,1,4.21,4.21
21,500011,Turkey Sandwich,Food,1,8.45,8.45
22,500012,Bagel with Cream Cheese,Bakery,1,3.97,3.97
23,500012,Veggie Wrap,Food,2,7.58,15.16
24,500013,Avocado Toast,Food,1,7.45,7.45
25,500013,Cold Brew,Beverage,2,4.7,9.4
26,500014,Blueberry Muffin,Bakery,2,3.67,7.34
27,500015,Fruit Cup,Snack,1,3.46,3.46
28,500015,Chocolate Chip Cookie,Bakery,1,2.45,2.45
29,500016,Caesar Salad,Food,1,8.21,8.21
30,500016,Cappuccino,Beverage,1,4.12,4.12
31,500017,Iced Tea,Beverage,1,3.46,3.46
32,500018,Croissant,Bakery,1,3.2,3.2
33,500018,Veggie Wrap,Food,1,7.64,7.64
34,500018,Chocolate Chip Cookie,Bakery,1,2.43,2.43
35,500019,Latte,Beverage,1,4.44,4.44
36,500020,Cappuccino,Beverage,2,4.2,8.4
37,500020,Caesar Salad,Food,1,8.23,8.23
38,500021,Chocolate Chip Cookie,Bakery,1,2.5,2.5
39,500022,Turkey Sandwich,Food,1,8.38,8.38
40,500022,Latte,Beverage,1,4.45,4.45
41,500023,Fruit Cup,Snack,1,3.47,3.47
42,500024,Croissant,Bakery,1,3.24,3.24
43,500025,Caesar Salad,Food,1,8.06,8.06
44,500026,Latte,Beverage,1,4.49,4.49
45,500027,Turkey Sandwich,Food,1,8.42,8.42
