order_id,order_date,order_timestamp,store_location,region,customer_id,payment_method,order_total
500001,2026-01-01,2026-01-01 08:54:00,Uptown Mall,East,580,Mobile Pay,19.33
500002,2026-01-01,2026-01-01 09:00:00,Harbor Point,South,76,Credit Card,10.42
500003,2026-01-01,2026-01-01 09:48:00,Harbor Point,South,764,Credit Card,8.78
500004,2026-01-01,2026-01-01 15:46:00,Airport Kiosk,West,138,Debit Card,4.66
500005,2026-01-01,2026-01-01 08:16:00,Downtown,North,375,Debit Card,5.69
500006,2026-01-01,2026-01-01 10:07:00,Harbor Point,South,152,Credit Card,4.62
500007,2026-01-01,2026-01-01 11:59:00,Harbor Point,South,220,Mobile Pay,14.74
500008,2026-01-01,2026-01-01 10:57:00,Harbor Point,South,742,Debit Card,11.53
500009,2026-01-01,2026-01-01 10:12:00,Riverside,South,350,Credit Card,4.21
500010,2026-01-01,2026-01-01 14:20:00,Harbor Point,South,310,Credit Card,20.01
500011,2026-01-01,2026-01-01 15:12:00,Downtown,North,848,Debit Card,8.45
500012,2026-01-01,2026-01-01 10:27:00,Riverside,South,648,Debit Card,19.13
500013,2026-01-01,2026-01-01 11:22:00,Downtown,North,739,Debit Card,16.85
500014,2026-01-01,2026-01-01 15:17:00,Airport Kiosk,West,6,Cash,7.34
500015,2026-01-01,2026-01-01 10:47:00,Uptown Mall,East,422,Debit Card,5.91
500016,2026-01-01,2026-01-01 15:21:00,Uptown Mall,East,671,Credit Card,12.33
500017,2026-01-01,2026-01-01 10:21:00,Riverside,South,699,Credit Card,3.46
500018,2026-01-01,2026-01-01 15:16:00,Harbor Point,South,36,Debit Card,13.27
500019,2026-01-01,2026-01-01 13:31:00,Uptown Mall,East,881,Cash,4.44
500020,2026-01-01,2026-01-01 10:01:00,Downtown,North,288,Debit Card,16.63
500021,2026-01-01,2026-01-01 18:13:00,Uptown Mall,East,827,Credit Card,2.5
500022,2026-01-01,2026-01-01 09:33:00,Airport Kiosk,West,613,Credit Card,12.83
500023,2026-01-01,2026-01-01 16:39:00,Harbor Point,South,689,Debit Card,3.47
500024,2026-01-01,2026-01-01 10:43:00,Uptown Mall,East,518,Credit Card,3.24
500025,2026-01-01,2026-01-01 18:05:00,Harbor Point,South,364,Debit Card,8.06
500026,2026-01-01,2026-01-01 08:07:00,Airport Kiosk,West,93,Credit Card,4.49
500027,2026-01-01,2026-01-01 16:13:00,Uptown Mall,East,212,Debit Card,12.83
500028,2026-01-02,2026-01-02 09:31:00,Downtown,North,638,Cash,3.45
500029,2026-01-02,2026-01-02 09:16:00,Harbor Point,South,370,Mobile Pay,2.7
500030,2026-01-02,2026-01-02 09:30:00,Airport Kiosk,West,866,Credit Card,15.13
500031,2026-01-02,2026-01-02 11:57:00,Downtown,North,407,Mobile Pay,3.21
500032,2026-01-02,2026-01-02 14:29:00,Riverside,South,401,Cash,7.91
500033,2026-01-02,2026-01-02 13:27:00,Riverside,South,440,Cash,4.16
500034,2026-01-02,2026-01-02 09:55:00,Riverside,South,296,Debit Card,3.47
500035,2026-01-02,2026-01-02 09:09:00,Airport Kiosk,West,676,Credit Card,10.08
500036,2026-01-02,2026-01-02 07:08:00,Uptown Mall,East,750,Mobile Pay,13.08
500037,2026-01-02,2026-01-02 10:08:00,Uptown Mall,East,885,Cash,3.25
500038,2026-01-02,2026-01-02 09:00:00,Airport Kiosk,West,585,Mobile Pay,4.2
500039,2026-01-02,2026-01-02 09:26:00,Downtown,North,338,Credit Card,16.55
500040,2026-01-02,2026-01-02 07:20:00,Downtown,North,314,Debit Card,19.1
500041,2026-01-02,2026-01-02 09:45:00,Uptown Mall,East,615,Credit Card,10.84
500042,2026-01-02,2026-01-02 18:46:00,Harbor Point,South,15,Debit Card,4.24
500043,2026-01-02,2026-01-02 08:05:00,Harbor Point,South,729,Mobile Pay,16.76
500044,2026-01-02,2026-01-02 07:50:00,Downtown,North,843,Debit Card,10.81
500045,2026-01-02,2026-01-02 16:08:00,Harbor Point,South,862,Debit Card,7.15
500046,2026-01-02,2026-01-02 18:48:00,Downtown,North,235,Debit Card,11.36
500047,2026-01-02,2026-01-02 12:28:00,Downtown,North,426,Mobile Pay,6.63
500048,2026-01-02,2026-01-02 13:11:00,Downtown,North,886,Credit Card,2.94
500049,2026-01-02,2026-01-02 10:42:00,Downtown,North,763,Credit Card,4.13
500050,2026-01-02,2026-01-02 09:53:00,Harbor Point,South,773,Credit Card,3.2
500051,2026-01-03,2026-01-03 08:48:00,Harbor Point,South,553,Credit Card,5.46
500052,2026-01-03,2026-01-03 10:26:00,Riverside,South,134,Cash,12.57
500053,2026-01-03,2026-01-03 07:56:00,Uptown Mall,East,166,Mobile Pay,10.71
500054,2026-01-03,2026-01-03 16:33:00,Airport Kiosk,West,551,Credit Card,7.84
500055,2026-01-03,2026-01-03 07:46:00,Airport Kiosk,West,323,Debit Card,3.43
500056,2026-01-03,2026-01-03 15:20:00,Downtown,North,536,Credit Card,14.37
500057,2026-01-03,2026-01-03 09:22:00,Uptown Mall,East,428,Debit Card,11.82
500058,2026-01-03,2026-01-03 07:25:00,Harbor Point,South,118,Credit Card,3.91
500059,2026-01-03,2026-01-03 18:46:00,Uptown Mall,East,856,Credit Card,3.98
500060,2026-01-03,2026-01-03 09:50:00,Downtown,North,403,Cash,11.9
500061,2026-01-03,2026-01-03 09:58:00,Downtown,North,516,Cash,11.4
500062,2026-01-03,2026-01-03 10:53:00,Uptown Mall,East,101,Mobile Pay,6.32
500063,2026-01-03,2026-01-03 16:11:00,Riverside,South,236,Debit Card,8.14
500064,2026-01-03,2026-01-03 15:30:00,Harbor Point,South,220,Credit Card,27.82
500065,2026-01-03,2026-01-03 09:10:00,Riverside,South,498,Mobile Pay,21.49
500066,2026-01-03,2026-01-03 08:18:00,Riverside,South,578,Debit Card,3.23
500067,2026-01-03,2026-01-03 08:12:00,Downtown,North,357,Mobile Pay,8.13
500068,2026-01-03,2026-01-03 12:22:00,Uptown Mall,East,120,Debit Card,12.38
500069,2026-01-03,2026-01-03 11:51:00,Harbor Point,South,840,Mobile Pay,24.64
500070,2026-01-03,2026-01-03 09:47:00,Uptown Mall,East,219,Credit Card,15.9
500071,2026-01-03,2026-01-03 12:00:00,Riverside,South,686,Credit Card,2.45
500072,2026-01-03,2026-01-03 12:12:00,Harbor Point,South,53,Mobile Pay,17.99
500073,2026-01-03,2026-01-03 15:35:00,Uptown Mall,East,592,Cash,28.53
500074,2026-01-03,2026-01-03 13:56:00,Downtown,North,882,Mobile Pay,8.1
500075,2026-01-03,2026-01-03 17:29:00,Riverside,South,847,Debit Card,4.19
500076,2026-01-03,2026-01-03 08:17:00,Airport Kiosk,West,134,Cash,3.2
500077,2026-01-03,2026-01-03 07:17:00,Downtown,North,471,Mobile Pay,15.46
500078,2026-01-03,2026-01-03 12:02:00,Airport Kiosk,West,23,Debit Card,15.45
500079,2026-01-03,2026-01-03 18:58:00,Riverside,South,660,Credit Card,7.2
500080,2026-01-03,2026-01-03 08:18:00,Riverside,South,272,Debit Card,10.52
500081,2026-01-03,2026-01-03 10:32:00,Riverside,South,552,Cash,21.58
500082,2026-01-03,2026-01-03 14:09:00,Riverside,South,216,Debit Card,9.82
500083,2026-01-04,2026-01-04 07:13:00,Downtown,North,460,Debit Card,7.64
500084,2026-01-04,2026-01-04 09:28:00,Airport Kiosk,West,851,Mobile Pay,7.38
500085,2026-01-04,2026-01-04 09:49:00,Riverside,South,528,Credit Card,4.71
500086,2026-01-04,2026-01-04 14:31:00,Uptown Mall,East,456,Debit Card,8.22
500087,2026-01-04,2026-01-04 09:38:00,Harbor Point,South,178,Credit Card,7.71
500088,2026-01-04,2026-01-04 10:48:00,Riverside,South,405,Credit Card,7.69
500089,2026-01-04,2026-01-04 18:49:00,Uptown Mall,East,590,Mobile Pay,8.36
500090,2026-01-04,2026-01-04 15:17:00,Harbor Point,South,296,Mobile Pay,7.62
500091,2026-01-04,2026-01-04 11:48:00,Harbor Point,South,449,Credit Card,4.21
500092,2026-01-04,2026-01-04 07:09:00,Harbor Point,South,642,Debit Card,15.92
500093,2026-01-04,2026-01-04 18:31:00,Riverside,South,524,Cash,8.07
500094,2026-01-04,2026-01-04 15:18:00,Riverside,South,440,Credit Card,2.44
500095,2026-01-04,2026-01-04 12:57:00,Harbor Point,South,630,Cash,3.93
500096,2026-01-04,2026-01-04 18:24:00,Downtown,North,45,Credit Card,3.89
500097,2026-01-04,2026-01-04 18:14:00,Harbor Point,South,570,Debit Card,8.19
500098,2026-01-04,2026-01-04 13:27:00,Downtown,North,813,Mobile Pay,2.94
500099,2026-01-04,2026-01-04 18:08:00,Riverside,South,600,Credit Card,2.92
500100,2026-01-04,2026-01-04 09:12:00,Downtown,North,852,Debit Card,6.91
500101,2026-01-04,2026-01-04 08:35:00,Downtown,North,837,Debit Card,11.39
500102,2026-01-04,2026-01-04 08:03:00,Harbor Point,South,562,Debit Card,7.61
500103,2026-01-04,2026-01-04 10:53:00,Uptown Mall,East,852,Debit Card,3.93
500104,2026-01-04,2026-01-04 08:34:00,Airport Kiosk,West,509,Debit Card,16.28
500105,2026-01-04,2026-01-04 13:52:00,Uptown Mall,East,810,Mobile Pay,10.49
500106,2026-01-04,2026-01-04 09:31:00,Riverside,South,607,Debit Card,13.65
